user_id,username,password_hash,role
00d77261-f6fd-4e3d-b37c-f78025db1025,patient_0,hash_0,Patient
05e3f50c-96d0-48a9-93ee-f3627394ee0a,patient_1,hash_1,Patient
a3c1ce73-9f45-4eec-a15a-95ba89863ca7,patient_2,hash_2,Patient
feec60b9-70d8-4a86-abea-b14967881904,patient_3,hash_3,Patient
ca1943e8-9e40-4ff0-b48f-6b206c55a70c,patient_4,hash_4,Patient
22fa4aee-caa1-4068-b282-842ac27154c8,patient_5,hash_5,Patient
c068733d-b562-4827-95b2-be86901b41a9,patient_6,hash_6,Patient
8ad0f560-da88-479c-ade1-0d63622844d3,patient_7,hash_7,Patient
fc1bc3a2-ecab-4792-843d-431080c75702,patient_8,hash_8,Patient
bcc7f63a-9e61-4ce9-a474-d45c2d41ff5a,patient_9,hash_9,Patient
1bdd5769-4cdb-4e9c-a42a-4bf03add8f21,patient_10,hash_10,Patient
c47546ea-6eed-4877-babb-60c757c61f3b,patient_11,hash_11,Patient
3be00ca2-bfd3-4757-8a6a-f28ca6b1a404,patient_12,hash_12,Patient
01d4e254-2fc8-41f5-9594-3be4955a7348,patient_13,hash_13,Patient
8641313b-f582-44d2-92a5-f9067cbbc7e1,patient_14,hash_14,Patient
0310b568-0936-4007-a4c6-7690d0039c84,patient_15,hash_15,Patient
48bc12a5-3849-4d23-93b9-7b45cae4898b,patient_16,hash_16,Patient
858f2d5f-5f22-478f-99d5-b03bd2c199cb,patient_17,hash_17,Patient
f45e4506-5b0c-4ef3-85de-5771547b6a77,patient_18,hash_18,Patient
58a87f95-7b54-44fd-9230-bc001717ece1,patient_19,hash_19,Patient
65a4f59a-b84c-4a78-8b46-9b8218a78992,patient_20,hash_20,Patient
6141451a-bf2e-4451-9dfc-6fa8e3c6f51a,patient_21,hash_21,Patient
77303f50-829a-4409-9387-bb6cd0d33891,patient_22,hash_22,Patient
62d29293-c5c7-448d-a2b3-bb27bac29c3b,patient_23,hash_23,Patient
4a15a0dd-8db3-4aa5-8e6e-96d36ff7ac63,patient_24,hash_24,Patient
7cda3a37-1a80-4638-9b12-4de84b6685c2,patient_25,hash_25,Patient
109f4de4-95e7-4f4d-89d4-f20b29152180,patient_26,hash_26,Patient
